"job_id","job_title_short","job_title","company_name","job_location","salary_year_avg","skills"
205303,"Data Analyst","Data Analyst, Risk User Experience","Stripe","Canada","111175.0","sql"
205303,"Data Analyst","Data Analyst, Risk User Experience","Stripe","Canada","111175.0","python"
205303,"Data Analyst","Data Analyst, Risk User Experience","Stripe","Canada","111175.0","spark"
205303,"Data Analyst","Data Analyst, Risk User Experience","Stripe","Canada","111175.0","hadoop"
1180796,"Data Analyst","Data Analyst, Growth","Stripe","Canada","111175.0","sql"
1180796,"Data Analyst","Data Analyst, Growth","Stripe","Canada","111175.0","python"
1180796,"Data Analyst","Data Analyst, Growth","Stripe","Canada","111175.0","spark"
1180796,"Data Analyst","Data Analyst, Growth","Stripe","Canada","111175.0","hadoop"
409209,"Data Analyst","Data Analyst (VBA, Tableau)","Sun Life","Canada","109000.0","sql"
409209,"Data Analyst","Data Analyst (VBA, Tableau)","Sun Life","Canada","109000.0","python"
409209,"Data Analyst","Data Analyst (VBA, Tableau)","Sun Life","Canada","109000.0","vba"
409209,"Data Analyst","Data Analyst (VBA, Tableau)","Sun Life","Canada","109000.0","excel"
409209,"Data Analyst","Data Analyst (VBA, Tableau)","Sun Life","Canada","109000.0","tableau"
629221,"Data Analyst","Analytics Engineering Lead","Swiss Re","Canada","108415.5","python"
629221,"Data Analyst","Analytics Engineering Lead","Swiss Re","Canada","108415.5","typescript"
629221,"Data Analyst","Analytics Engineering Lead","Swiss Re","Canada","108415.5","spark"
1591043,"Data Analyst","Data Analyst, End to End Banking Operations","ATB Financial","Edmonton, AB, Canada","105000.0","sql"
1591043,"Data Analyst","Data Analyst, End to End Banking Operations","ATB Financial","Edmonton, AB, Canada","105000.0","python"
1591043,"Data Analyst","Data Analyst, End to End Banking Operations","ATB Financial","Edmonton, AB, Canada","105000.0","javascript"
1591043,"Data Analyst","Data Analyst, End to End Banking Operations","ATB Financial","Edmonton, AB, Canada","105000.0","bigquery"
1591043,"Data Analyst","Data Analyst, End to End Banking Operations","ATB Financial","Edmonton, AB, Canada","105000.0","tableau"
1591043,"Data Analyst","Data Analyst, End to End Banking Operations","ATB Financial","Edmonton, AB, Canada","105000.0","sheets"
1232872,"Data Analyst","Analytics Lab Architect","Swiss Re","Canada","101014.0","azure"
1232872,"Data Analyst","Analytics Lab Architect","Swiss Re","Canada","101014.0","databricks"
995289,"Data Analyst","Operation Data Analyst - Genshin Impact","HoYoverse","Canada","100500.0","sql"
995289,"Data Analyst","Operation Data Analyst - Genshin Impact","HoYoverse","Canada","100500.0","python"
995289,"Data Analyst","Operation Data Analyst - Genshin Impact","HoYoverse","Canada","100500.0","sas"
995289,"Data Analyst","Operation Data Analyst - Genshin Impact","HoYoverse","Canada","100500.0","excel"
995289,"Data Analyst","Operation Data Analyst - Genshin Impact","HoYoverse","Canada","100500.0","sas"
995289,"Data Analyst","Operation Data Analyst - Genshin Impact","HoYoverse","Canada","100500.0","spss"
973984,"Data Analyst","Data Analyst - HoYolab and Content Creator","HoYoverse","Canada","100500.0","sql"
973984,"Data Analyst","Data Analyst - HoYolab and Content Creator","HoYoverse","Canada","100500.0","excel"
452146,"Data Analyst","Data Analyst","ATB Financial","Edmonton, AB, Canada","100500.0","sql"
452146,"Data Analyst","Data Analyst","ATB Financial","Edmonton, AB, Canada","100500.0","python"
452146,"Data Analyst","Data Analyst","ATB Financial","Edmonton, AB, Canada","100500.0","tableau"
452146,"Data Analyst","Data Analyst","ATB Financial","Edmonton, AB, Canada","100500.0","looker"
452146,"Data Analyst","Data Analyst","ATB Financial","Edmonton, AB, Canada","100500.0","sheets"
452146,"Data Analyst","Data Analyst","ATB Financial","Edmonton, AB, Canada","100500.0","visio"
452146,"Data Analyst","Data Analyst","ATB Financial","Edmonton, AB, Canada","100500.0","jira"
